#ID	A323-01	A323-02	A323-03	A323-04	A323-05	A323-06	A323-07	A323-08	A323-11	A323-12	A323-15	A323-16	A323-17	A323-18	A323-19	A323-22	A323-24	A323-28	A323-29	A323-34	A323-35	A323-37	A323-38	A323-39	A323-40	A323-41	A323-42	A323-43	A323-44	A323-45	A323-46	A323-47	A323-48	A323-49	A323-50
hsa-miR-4644	4.052159396	0	0	0	0	0	0	8.437216562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4645-3p	0	0	0	0	0	0	2.76516555	0	0	0	0	0	0	0	0	0	2.68779633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.842285323	0	0
hsa-miR-4646-5p	0	0	0	0	0	0	0	0	1.634521085	0	0	0	0	0	0	0	0	0	0	1.108385714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4651	0	0	0	2.834250213	0	0	0	0	1.634521085	0	0	0	0	0	0	4.22761478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4652-3p	0	0	0	0	0	0	0	0	0	6.808742425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4652-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69607883	0	0	0	0	0	0	0	0
hsa-miR-4653-3p	8.104318791	0	0	0	0	0	0	0	1.634521085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4654	0	0	12.47388281	0	0	0	0	0	0	0	0	0	0	2.014013506	0	4.22761478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4655-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1271976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22761478	0	0	0	0	0	0	0	0	0	0	0	6.530825496	0	0	0	0	0	0	0
hsa-miR-4658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.363803549	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.363803549	0	0	0	0	0	0	0	0	0	0	13.68457065	0	4.063198997
hsa-miR-4659b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.216771428	0	2.363803549	0	0	0	0	0	0	0	0	0	0	6.842285323	0	4.063198997
hsa-miR-4659b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.59247649	0	0	0	4.690145535	0	0	0
hsa-miR-4660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.363803549	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4661-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.216771428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4662a-5p	0	0	0	2.834250213	5.124342163	0	0	0	0	0	0	0	2.99277544	0	0	0	0	4.710626231	0	0	0	0	0	3.266788845	0	6.016267989	11.08823649	0	0	0	0	0	0	0	0
hsa-miR-4663	0	0	0	0	0	7.385960766	0	0	0	40.85245455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4664-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.534327466	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4665-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.016267989	3.69607883	6.530825496	0	0	0	0	0	0	2.031599499
hsa-miR-4667-3p	0	0	9.355412106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4667-5p	0	0	0	0	0	0	0	0	0	0	12.15352331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4668-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4668-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68779633	0	0	1.108385714	2.275054033	2.363803549	0	0	0	0	3.69607883	0	0	18.80812887	0	0	0	0	0
hsa-miR-4669	0	0	0	2.834250213	0	0	0	0	0	0	0	6.995355084	0	2.014013506	0	0	0	0	10.1271976	1.108385714	0	0	0	0	4.837835746	0	0	0	0	0	0	0	6.842285323	0	4.063198997
hsa-miR-4672	0	0	0	0	0	0	0	0	0	13.61748485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4673	4.052159396	0	6.236941404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.108385714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.325157141	0	0	0	0	0	0	0	0	0	0	0	0	6.842285323	0	0
hsa-miR-4677-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.375592659	0	0	1.108385714	0	0	0	0	0	0	7.39215766	0	0	0	0	0	0	0	0
